"Name","seed","eps","velocity-mu","val-size","test.accuracy.top1","frozen_neurons_perc.total"
"swift-sweep-6","3","0.001","0.9","0.1","0.927","98.33479404031551"
"legendary-sweep-2","0","0.001","0.9","0.1","0.9266","98.20333041191935"
"sparkling-sweep-4","1","0.001","0.9","0.1","0.9236","97.72129710780018"
"flowing-sweep-4","2","0.001","0.9","0.1","0.9238","98.42243645924628"
"still-sweep-5","3","0.001","0.5","0.1","0.9275","98.55390008764242"
"revived-sweep-3","2","0.001","0.5","0.1","0.9234","97.41454864154252"
"sweet-sweep-1","0","0.001","0.5","0.1","0.927","98.07186678352322"
"clear-sweep-3","1","0.001","0.5","0.1","0.9224","97.06397896581946"
"honest-sweep-1","0","0.001","0","0.1","0.9226","97.72129710780018"
"zany-sweep-6","3","0.001","0","0.1","0.9259","98.55390008764242"
"comfy-sweep-5","2","0.001","0","0.1","0.9247","97.37072743207712"
"dulcet-sweep-2","1","0.001","0","0.1","0.9235","96.49430324276948"