"Name","ID","seed","eps","velocity-mu","val-size","test.accuracy.top1","frozen_neurons_perc.total"
"easy-sweep-3","4nmtmtjz","3","0.5","0","0.1","0.7796","99.5617879053462"
"resilient-sweep-1","e4ouclcj","0","0.5","0","0.1","0.7785","99.5617879053462"
"magic-sweep-2","k325ldrd","1","0.5","0","0.1","0.7293999999999999","99.5617879053462"
"sunny-sweep-2","weubqdwa","2","0.5","0","0.1","0.7836","99.5617879053462"
"vibrant-sweep-3","8ztezdlv","1","0.1","0","0.1","0.8294","99.5617879053462"
"faithful-sweep-5","asp9b25r","3","0.1","0","0.1","0.8440000000000001","99.5617879053462"
"revived-sweep-5","nkrcs090","2","0.1","0","0.1","0.8398","99.5617879053462"
"elated-sweep-4","uw8k8xpz","0","0.1","0","0.1","0.8427","99.5617879053462"
"dutiful-sweep-7","6eo59ecw","2","0.05","0","0.1","0.8690000000000001","99.5617879053462"
"curious-sweep-4","jxagohpn","1","0.05","0","0.1","0.8637","99.5617879053462"
"radiant-sweep-8","loim56u9","3","0.05","0","0.1","0.8704000000000001","99.5617879053462"
"flowing-sweep-6","m4ba24o4","0","0.05","0","0.1","0.8687","99.5617879053462"
"winter-sweep-5","0zsk38ba","1","0.01","0","0.1","0.9082","99.5617879053462"
"silvery-sweep-11","bhysjylk","3","0.01","0","0.1","0.9123","99.5617879053462"
"light-sweep-9","sgflayja","0","0.01","0","0.1","0.916","99.5617879053462"
"rare-sweep-10","ya39fuk4","2","0.01","0","0.1","0.9128","99.5617879053462"
"sage-sweep-14","23g7l1g3","3","0.005","0","0.1","0.9212","99.5617879053462"
"denim-sweep-6","6rvp4by1","1","0.005","0","0.1","0.9123","99.5617879053462"
"legendary-sweep-13","at69bo0q","2","0.005","0","0.1","0.9166","99.5617879053462"
"brisk-sweep-12","fw8invg4","0","0.005","0","0.1","0.9185","99.5617879053462"
"trim-sweep-7","0qz55x8o","1","0.001","0","0.1","0.9235","96.49430324276948"
"hearty-sweep-15","fgjwvhnv","0","0.001","0","0.1","0.9226","97.72129710780018"
"lilac-sweep-17","oc1pj72q","3","0.001","0","0.1","0.9259","98.55390008764242"
"jumping-sweep-16","xp4k1rpo","2","0.001","0","0.1","0.9247","97.37072743207712"
"flowing-sweep-1","jotkvw3n","0","0.0005","0","0.1","0.9252","95.0920245398773"
"noble-sweep-8","lfl91q17","3","0.0005","0","0.1","0.9296","94.6099912357581"
"happy-sweep-2","ljtki5ur","1","0.0005","0","0.1","0.926","88.0806310254163"
"peach-sweep-3","wpz88nfn","2","0.0005","0","0.1","0.9268","91.98071866783523"
"sage-sweep-7","323d3uxc","2","0.0001","0","0.1","0.9271","13.277826468010517"
"balmy-sweep-8","lne9fl4c","3","0.0001","0","0.1","0.9303","19.32515337423313"
"worldly-sweep-6","t1d6lon3","1","0.0001","0","0.1","0.9209","23.707274320771255"
"denim-sweep-5","xj46p62y","0","0.0001","0","0.1","0.9277","21.034180543382995"
"vocal-sweep-20","9glsq4ki","3","0","0","0.1","0.928","0.9640666082383872"
"ethereal-sweep-8","dg5bqxup","1","0","0","0.1","0.923","4.294478527607362"
"hopeful-sweep-18","laxxpan2","0","0","0","0.1","0.9277","1.0517090271691498"
"noble-sweep-19","lc93m815","2","0","0","0.1","0.926","1.1831726555652935"